"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 6","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","2 wk ahead","Point","percent",NA,NA,6.1
"HHS Region 6","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","2 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","2 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","2 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","2 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","2 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","2 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","2 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","2 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","2 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 6","2 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 6","2 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 6","2 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 6","2 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 6","2 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 6","2 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 6","2 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 6","2 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 6","2 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 6","2 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 6","2 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 6","2 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 6","2 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 6","2 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 6","2 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 6","2 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 6","2 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 6","2 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 6","2 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 6","2 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 6","2 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 6","2 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 6","2 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 6","2 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 6","2 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 6","2 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 6","2 wk ahead","Bin","percent","4.1","4.2",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.2","4.3",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.3","4.4",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.4","4.5",0.0023
"HHS Region 6","2 wk ahead","Bin","percent","4.5","4.6",0.0054
"HHS Region 6","2 wk ahead","Bin","percent","4.6","4.7",0.0048
"HHS Region 6","2 wk ahead","Bin","percent","4.7","4.8",0.0075
"HHS Region 6","2 wk ahead","Bin","percent","4.8","4.9",0.0074
"HHS Region 6","2 wk ahead","Bin","percent","4.9","5.0",0.0145
"HHS Region 6","2 wk ahead","Bin","percent","5.0","5.1",0.014
"HHS Region 6","2 wk ahead","Bin","percent","5.1","5.2",0.0181
"HHS Region 6","2 wk ahead","Bin","percent","5.2","5.3",0.0208
"HHS Region 6","2 wk ahead","Bin","percent","5.3","5.4",0.0232
"HHS Region 6","2 wk ahead","Bin","percent","5.4","5.5",0.028
"HHS Region 6","2 wk ahead","Bin","percent","5.5","5.6",0.0352
"HHS Region 6","2 wk ahead","Bin","percent","5.6","5.7",0.0405
"HHS Region 6","2 wk ahead","Bin","percent","5.7","5.8",0.0427
"HHS Region 6","2 wk ahead","Bin","percent","5.8","5.9",0.0496
"HHS Region 6","2 wk ahead","Bin","percent","5.9","6.0",0.0516
"HHS Region 6","2 wk ahead","Bin","percent","6.0","6.1",0.0717
"HHS Region 6","2 wk ahead","Bin","percent","6.1","6.2",0.0646
"HHS Region 6","2 wk ahead","Bin","percent","6.2","6.3",0.0702
"HHS Region 6","2 wk ahead","Bin","percent","6.3","6.4",0.0807
"HHS Region 6","2 wk ahead","Bin","percent","6.4","6.5",0.0885
"HHS Region 6","2 wk ahead","Bin","percent","6.5","6.6",0.0837
"HHS Region 6","2 wk ahead","Bin","percent","6.6","6.7",0.0693
"HHS Region 6","2 wk ahead","Bin","percent","6.7","6.8",0.048
"HHS Region 6","2 wk ahead","Bin","percent","6.8","6.9",0.0295
"HHS Region 6","2 wk ahead","Bin","percent","6.9","7.0",0.0155
"HHS Region 6","2 wk ahead","Bin","percent","7.0","7.1",0.0062
"HHS Region 6","2 wk ahead","Bin","percent","7.1","7.2",0.003
"HHS Region 6","2 wk ahead","Bin","percent","7.2","7.3",0.001
"HHS Region 6","2 wk ahead","Bin","percent","7.3","7.4",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.4","7.5",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","2 wk ahead","Bin","percent","7.7","7.8",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","2 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","2 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","2 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","2 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","2 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","2 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","2 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","2 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","2 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","3 wk ahead","Point","percent",NA,NA,5.5
"HHS Region 6","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","3 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","3 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","3 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","3 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","3 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","3 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","3 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","3 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 6","3 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 6","3 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 6","3 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 6","3 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 6","3 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 6","3 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 6","3 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 6","3 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 6","3 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 6","3 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 6","3 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 6","3 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 6","3 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 6","3 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 6","3 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 6","3 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 6","3 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 6","3 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 6","3 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 6","3 wk ahead","Bin","percent","3.4","3.5",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","3.5","3.6",4e-04
"HHS Region 6","3 wk ahead","Bin","percent","3.6","3.7",4e-04
"HHS Region 6","3 wk ahead","Bin","percent","3.7","3.8",0.0018
"HHS Region 6","3 wk ahead","Bin","percent","3.8","3.9",0.0032
"HHS Region 6","3 wk ahead","Bin","percent","3.9","4.0",0.0045
"HHS Region 6","3 wk ahead","Bin","percent","4.0","4.1",0.0067
"HHS Region 6","3 wk ahead","Bin","percent","4.1","4.2",0.0106
"HHS Region 6","3 wk ahead","Bin","percent","4.2","4.3",0.0123
"HHS Region 6","3 wk ahead","Bin","percent","4.3","4.4",0.0165
"HHS Region 6","3 wk ahead","Bin","percent","4.4","4.5",0.0173
"HHS Region 6","3 wk ahead","Bin","percent","4.5","4.6",0.0211
"HHS Region 6","3 wk ahead","Bin","percent","4.6","4.7",0.0245
"HHS Region 6","3 wk ahead","Bin","percent","4.7","4.8",0.0285
"HHS Region 6","3 wk ahead","Bin","percent","4.8","4.9",0.0295
"HHS Region 6","3 wk ahead","Bin","percent","4.9","5.0",0.0379
"HHS Region 6","3 wk ahead","Bin","percent","5.0","5.1",0.04
"HHS Region 6","3 wk ahead","Bin","percent","5.1","5.2",0.0488
"HHS Region 6","3 wk ahead","Bin","percent","5.2","5.3",0.0414
"HHS Region 6","3 wk ahead","Bin","percent","5.3","5.4",0.0507
"HHS Region 6","3 wk ahead","Bin","percent","5.4","5.5",0.0533
"HHS Region 6","3 wk ahead","Bin","percent","5.5","5.6",0.0522
"HHS Region 6","3 wk ahead","Bin","percent","5.6","5.7",0.0506
"HHS Region 6","3 wk ahead","Bin","percent","5.7","5.8",0.0476
"HHS Region 6","3 wk ahead","Bin","percent","5.8","5.9",0.0468
"HHS Region 6","3 wk ahead","Bin","percent","5.9","6.0",0.0449
"HHS Region 6","3 wk ahead","Bin","percent","6.0","6.1",0.0442
"HHS Region 6","3 wk ahead","Bin","percent","6.1","6.2",0.0509
"HHS Region 6","3 wk ahead","Bin","percent","6.2","6.3",0.0434
"HHS Region 6","3 wk ahead","Bin","percent","6.3","6.4",0.0455
"HHS Region 6","3 wk ahead","Bin","percent","6.4","6.5",0.0441
"HHS Region 6","3 wk ahead","Bin","percent","6.5","6.6",0.0278
"HHS Region 6","3 wk ahead","Bin","percent","6.6","6.7",0.0217
"HHS Region 6","3 wk ahead","Bin","percent","6.7","6.8",0.0164
"HHS Region 6","3 wk ahead","Bin","percent","6.8","6.9",0.0069
"HHS Region 6","3 wk ahead","Bin","percent","6.9","7.0",0.0046
"HHS Region 6","3 wk ahead","Bin","percent","7.0","7.1",0.0016
"HHS Region 6","3 wk ahead","Bin","percent","7.1","7.2",8e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.2","7.3",3e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.3","7.4",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","3 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","3 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","3 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 6","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","3 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","3 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","3 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","4 wk ahead","Point","percent",NA,NA,5.2
"HHS Region 6","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","4 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","4 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","4 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","4 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","4 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","4 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","4 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","4 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","4 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 6","4 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 6","4 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 6","4 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 6","4 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 6","4 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 6","4 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 6","4 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 6","4 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 6","4 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 6","4 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 6","4 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 6","4 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 6","4 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 6","4 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 6","4 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 6","4 wk ahead","Bin","percent","3.0","3.1",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","3.1","3.2",0.0011
"HHS Region 6","4 wk ahead","Bin","percent","3.2","3.3",0.0016
"HHS Region 6","4 wk ahead","Bin","percent","3.3","3.4",0.0021
"HHS Region 6","4 wk ahead","Bin","percent","3.4","3.5",0.0034
"HHS Region 6","4 wk ahead","Bin","percent","3.5","3.6",0.0058
"HHS Region 6","4 wk ahead","Bin","percent","3.6","3.7",0.0067
"HHS Region 6","4 wk ahead","Bin","percent","3.7","3.8",0.0109
"HHS Region 6","4 wk ahead","Bin","percent","3.8","3.9",0.0169
"HHS Region 6","4 wk ahead","Bin","percent","3.9","4.0",0.0164
"HHS Region 6","4 wk ahead","Bin","percent","4.0","4.1",0.0208
"HHS Region 6","4 wk ahead","Bin","percent","4.1","4.2",0.0207
"HHS Region 6","4 wk ahead","Bin","percent","4.2","4.3",0.0257
"HHS Region 6","4 wk ahead","Bin","percent","4.3","4.4",0.0283
"HHS Region 6","4 wk ahead","Bin","percent","4.4","4.5",0.0274
"HHS Region 6","4 wk ahead","Bin","percent","4.5","4.6",0.0366
"HHS Region 6","4 wk ahead","Bin","percent","4.6","4.7",0.0408
"HHS Region 6","4 wk ahead","Bin","percent","4.7","4.8",0.0376
"HHS Region 6","4 wk ahead","Bin","percent","4.8","4.9",0.0377
"HHS Region 6","4 wk ahead","Bin","percent","4.9","5.0",0.0388
"HHS Region 6","4 wk ahead","Bin","percent","5.0","5.1",0.0435
"HHS Region 6","4 wk ahead","Bin","percent","5.1","5.2",0.0464
"HHS Region 6","4 wk ahead","Bin","percent","5.2","5.3",0.0402
"HHS Region 6","4 wk ahead","Bin","percent","5.3","5.4",0.0452
"HHS Region 6","4 wk ahead","Bin","percent","5.4","5.5",0.0412
"HHS Region 6","4 wk ahead","Bin","percent","5.5","5.6",0.0366
"HHS Region 6","4 wk ahead","Bin","percent","5.6","5.7",0.0374
"HHS Region 6","4 wk ahead","Bin","percent","5.7","5.8",0.033
"HHS Region 6","4 wk ahead","Bin","percent","5.8","5.9",0.035
"HHS Region 6","4 wk ahead","Bin","percent","5.9","6.0",0.0372
"HHS Region 6","4 wk ahead","Bin","percent","6.0","6.1",0.0322
"HHS Region 6","4 wk ahead","Bin","percent","6.1","6.2",0.0361
"HHS Region 6","4 wk ahead","Bin","percent","6.2","6.3",0.0399
"HHS Region 6","4 wk ahead","Bin","percent","6.3","6.4",0.0244
"HHS Region 6","4 wk ahead","Bin","percent","6.4","6.5",0.0249
"HHS Region 6","4 wk ahead","Bin","percent","6.5","6.6",0.0222
"HHS Region 6","4 wk ahead","Bin","percent","6.6","6.7",0.0129
"HHS Region 6","4 wk ahead","Bin","percent","6.7","6.8",0.0163
"HHS Region 6","4 wk ahead","Bin","percent","6.8","6.9",0.0061
"HHS Region 6","4 wk ahead","Bin","percent","6.9","7.0",0.0045
"HHS Region 6","4 wk ahead","Bin","percent","7.0","7.1",0.0026
"HHS Region 6","4 wk ahead","Bin","percent","7.1","7.2",0.0011
"HHS Region 6","4 wk ahead","Bin","percent","7.2","7.3",6e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.3","7.4",4e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","4 wk ahead","Bin","percent","7.5","7.6",2e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","4 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","4 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","4 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","4 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","4 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","4 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","4 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 7","1 wk ahead","Point","percent",NA,NA,4.7
