"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 4","3 wk ahead","Bin","percent","5.5","5.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 4","3 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 4","3 wk ahead","Bin","percent","5.9","6.0",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.1","6.2",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 4","3 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.4","6.5",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.6","6.7",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 4","3 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 4","3 wk ahead","Bin","percent","7.0","7.1",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.1","7.2",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.2","7.3",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 4","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 4","3 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.7","7.8",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 4","3 wk ahead","Bin","percent","8.0","8.1",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.1","8.2",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.3","8.4",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 4","3 wk ahead","Bin","percent","8.5","8.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.6","8.7",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 4","3 wk ahead","Bin","percent","8.8","8.9",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 4","3 wk ahead","Bin","percent","9.0","9.1",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 4","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 4","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 4","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 4","3 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 4","3 wk ahead","Bin","percent","9.7","9.8",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.8","9.9",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 4","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 4","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 4","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 4","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 4","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 4","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 4","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 4","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 4","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 4","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 4","3 wk ahead","Bin","percent","11.2","11.3",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.3","11.4",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.5","11.6",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.6","11.7",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.7","11.8",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.8","11.9",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.9","12.0",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.0","12.1",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.1","12.2",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 4","3 wk ahead","Bin","percent","12.3","12.4",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.4","12.5",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 4","3 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 4","3 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 4","3 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 4","4 wk ahead","Point","percent",NA,NA,2.6
"HHS Region 4","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 4","4 wk ahead","Bin","percent","0.1","0.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 4","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 4","4 wk ahead","Bin","percent","0.4","0.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 4","4 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 4","4 wk ahead","Bin","percent","0.7","0.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.8","0.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 4","4 wk ahead","Bin","percent","1.0","1.1",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 4","4 wk ahead","Bin","percent","1.2","1.3",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","1.3","1.4",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","1.4","1.5",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","1.5","1.6",0.0021
"HHS Region 4","4 wk ahead","Bin","percent","1.6","1.7",0.0029
"HHS Region 4","4 wk ahead","Bin","percent","1.7","1.8",0.011
"HHS Region 4","4 wk ahead","Bin","percent","1.8","1.9",0.0137
"HHS Region 4","4 wk ahead","Bin","percent","1.9","2.0",0.0175
"HHS Region 4","4 wk ahead","Bin","percent","2.0","2.1",0.0314
"HHS Region 4","4 wk ahead","Bin","percent","2.1","2.2",0.0442
"HHS Region 4","4 wk ahead","Bin","percent","2.2","2.3",0.0524
"HHS Region 4","4 wk ahead","Bin","percent","2.3","2.4",0.0619
"HHS Region 4","4 wk ahead","Bin","percent","2.4","2.5",0.0786
"HHS Region 4","4 wk ahead","Bin","percent","2.5","2.6",0.0951
"HHS Region 4","4 wk ahead","Bin","percent","2.6","2.7",0.0885
"HHS Region 4","4 wk ahead","Bin","percent","2.7","2.8",0.0866
"HHS Region 4","4 wk ahead","Bin","percent","2.8","2.9",0.0675
"HHS Region 4","4 wk ahead","Bin","percent","2.9","3.0",0.0641
"HHS Region 4","4 wk ahead","Bin","percent","3.0","3.1",0.0702
"HHS Region 4","4 wk ahead","Bin","percent","3.1","3.2",0.0562
"HHS Region 4","4 wk ahead","Bin","percent","3.2","3.3",0.0462
"HHS Region 4","4 wk ahead","Bin","percent","3.3","3.4",0.0349
"HHS Region 4","4 wk ahead","Bin","percent","3.4","3.5",0.0277
"HHS Region 4","4 wk ahead","Bin","percent","3.5","3.6",0.0185
"HHS Region 4","4 wk ahead","Bin","percent","3.6","3.7",0.0111
"HHS Region 4","4 wk ahead","Bin","percent","3.7","3.8",0.005
"HHS Region 4","4 wk ahead","Bin","percent","3.8","3.9",0.0029
"HHS Region 4","4 wk ahead","Bin","percent","3.9","4.0",0.0018
"HHS Region 4","4 wk ahead","Bin","percent","4.0","4.1",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.1","4.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 4","4 wk ahead","Bin","percent","4.3","4.4",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 4","4 wk ahead","Bin","percent","4.5","4.6",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.6","4.7",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.7","4.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.8","4.9",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.9","5.0",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.0","5.1",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 4","4 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 4","4 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.4","5.5",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 4","4 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 4","4 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.8","5.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.9","6.0",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.1","6.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 4","4 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 4","4 wk ahead","Bin","percent","6.4","6.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 4","4 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 4","4 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 4","4 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 4","4 wk ahead","Bin","percent","7.0","7.1",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.1","7.2",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 4","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 4","4 wk ahead","Bin","percent","7.4","7.5",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 4","4 wk ahead","Bin","percent","7.6","7.7",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 4","4 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 4","4 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 4","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 4","4 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 4","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 4","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 4","4 wk ahead","Bin","percent","8.7","8.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 4","4 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 4","4 wk ahead","Bin","percent","9.0","9.1",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.2","9.3",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 4","4 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 4","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 4","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 4","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 4","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 4","4 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.2","10.3",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 4","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 4","4 wk ahead","Bin","percent","10.5","10.6",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.6","10.7",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 4","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 4","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 4","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 4","4 wk ahead","Bin","percent","11.1","11.2",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 4","4 wk ahead","Bin","percent","11.3","11.4",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 4","4 wk ahead","Bin","percent","11.5","11.6",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 4","4 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 4","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 4","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 4","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 4","4 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 4","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 4","4 wk ahead","Bin","percent","12.5","12.6",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 4","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 4","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 4","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 4","4 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 5","1 wk ahead","Point","percent",NA,NA,3.7
"HHS Region 5","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 5","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","1 wk ahead","Bin","percent","0.4","0.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 5","1 wk ahead","Bin","percent","0.6","0.7",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 5","1 wk ahead","Bin","percent","0.8","0.9",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 5","1 wk ahead","Bin","percent","1.0","1.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","1.1","1.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 5","1 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 5","1 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 5","1 wk ahead","Bin","percent","1.5","1.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 5","1 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 5","1 wk ahead","Bin","percent","1.8","1.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","1.9","2.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 5","1 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 5","1 wk ahead","Bin","percent","2.2","2.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.3","2.4",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.4","2.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.5","2.6",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.6","2.7",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.7","2.8",0.0027
"HHS Region 5","1 wk ahead","Bin","percent","2.8","2.9",0.0048
"HHS Region 5","1 wk ahead","Bin","percent","2.9","3.0",0.0109
"HHS Region 5","1 wk ahead","Bin","percent","3.0","3.1",0.0161
"HHS Region 5","1 wk ahead","Bin","percent","3.1","3.2",0.0273
"HHS Region 5","1 wk ahead","Bin","percent","3.2","3.3",0.0431
"HHS Region 5","1 wk ahead","Bin","percent","3.3","3.4",0.0611
"HHS Region 5","1 wk ahead","Bin","percent","3.4","3.5",0.076
"HHS Region 5","1 wk ahead","Bin","percent","3.5","3.6",0.0861
"HHS Region 5","1 wk ahead","Bin","percent","3.6","3.7",0.0893
"HHS Region 5","1 wk ahead","Bin","percent","3.7","3.8",0.102
"HHS Region 5","1 wk ahead","Bin","percent","3.8","3.9",0.1056
"HHS Region 5","1 wk ahead","Bin","percent","3.9","4.0",0.0947
"HHS Region 5","1 wk ahead","Bin","percent","4.0","4.1",0.0805
"HHS Region 5","1 wk ahead","Bin","percent","4.1","4.2",0.065
"HHS Region 5","1 wk ahead","Bin","percent","4.2","4.3",0.0426
"HHS Region 5","1 wk ahead","Bin","percent","4.3","4.4",0.0277
"HHS Region 5","1 wk ahead","Bin","percent","4.4","4.5",0.0208
"HHS Region 5","1 wk ahead","Bin","percent","4.5","4.6",0.0139
"HHS Region 5","1 wk ahead","Bin","percent","4.6","4.7",0.0103
"HHS Region 5","1 wk ahead","Bin","percent","4.7","4.8",0.0062
"HHS Region 5","1 wk ahead","Bin","percent","4.8","4.9",0.003
"HHS Region 5","1 wk ahead","Bin","percent","4.9","5.0",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.0","5.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 5","1 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 5","1 wk ahead","Bin","percent","5.6","5.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 5","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 5","1 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 5","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 5","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 5","1 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 5","1 wk ahead","Bin","percent","6.4","6.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 5","1 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.8","6.9",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.0","7.1",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.1","7.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 5","1 wk ahead","Bin","percent","7.3","7.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.4","7.5",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.6","7.7",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 5","1 wk ahead","Bin","percent","8.2","8.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.5","8.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 5","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","1 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 5","1 wk ahead","Bin","percent","9.0","9.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","1 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 5","1 wk ahead","Bin","percent","9.5","9.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","1 wk ahead","Bin","percent","9.8","9.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 5","1 wk ahead","Bin","percent","10.0","10.1",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 5","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 5","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 5","1 wk ahead","Bin","percent","10.4","10.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 5","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 5","1 wk ahead","Bin","percent","10.8","10.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.9","11.0",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.0","11.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 5","1 wk ahead","Bin","percent","11.3","11.4",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.5","11.6",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 5","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 5","1 wk ahead","Bin","percent","11.8","11.9",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.9","12.0",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.0","12.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 5","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 5","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","1 wk ahead","Bin","percent","12.5","12.6",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 5","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 5","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 5","1 wk ahead","Bin","percent","12.9","13.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","13.0","100.0",3e-04
"HHS Region 5","2 wk ahead","Point","percent",NA,NA,3
"HHS Region 5","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 5","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 5","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 5","2 wk ahead","Bin","percent","0.6","0.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 5","2 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 5","2 wk ahead","Bin","percent","0.9","1.0",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 5","2 wk ahead","Bin","percent","1.1","1.2",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.2","1.3",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 5","2 wk ahead","Bin","percent","1.4","1.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 5","2 wk ahead","Bin","percent","1.6","1.7",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.7","1.8",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.8","1.9",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","1.9","2.0",0.0015
"HHS Region 5","2 wk ahead","Bin","percent","2.0","2.1",0.0031
"HHS Region 5","2 wk ahead","Bin","percent","2.1","2.2",0.0058
"HHS Region 5","2 wk ahead","Bin","percent","2.2","2.3",0.0159
"HHS Region 5","2 wk ahead","Bin","percent","2.3","2.4",0.0236
"HHS Region 5","2 wk ahead","Bin","percent","2.4","2.5",0.0339
"HHS Region 5","2 wk ahead","Bin","percent","2.5","2.6",0.0535
"HHS Region 5","2 wk ahead","Bin","percent","2.6","2.7",0.0728
"HHS Region 5","2 wk ahead","Bin","percent","2.7","2.8",0.0885
"HHS Region 5","2 wk ahead","Bin","percent","2.8","2.9",0.0925
"HHS Region 5","2 wk ahead","Bin","percent","2.9","3.0",0.1023
"HHS Region 5","2 wk ahead","Bin","percent","3.0","3.1",0.106
"HHS Region 5","2 wk ahead","Bin","percent","3.1","3.2",0.0957
"HHS Region 5","2 wk ahead","Bin","percent","3.2","3.3",0.0854
"HHS Region 5","2 wk ahead","Bin","percent","3.3","3.4",0.067
"HHS Region 5","2 wk ahead","Bin","percent","3.4","3.5",0.0551
"HHS Region 5","2 wk ahead","Bin","percent","3.5","3.6",0.0309
"HHS Region 5","2 wk ahead","Bin","percent","3.6","3.7",0.0198
"HHS Region 5","2 wk ahead","Bin","percent","3.7","3.8",0.0168
"HHS Region 5","2 wk ahead","Bin","percent","3.8","3.9",0.0112
"HHS Region 5","2 wk ahead","Bin","percent","3.9","4.0",0.0055
"HHS Region 5","2 wk ahead","Bin","percent","4.0","4.1",0.0024
"HHS Region 5","2 wk ahead","Bin","percent","4.1","4.2",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.2","4.3",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 5","2 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 5","2 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 5","2 wk ahead","Bin","percent","4.6","4.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 5","2 wk ahead","Bin","percent","4.8","4.9",0
